forecast_snapshot_id,pm_project_id,as_of_date,cost_code,pm_remaining_uncommitted_cost,pm_remaining_labor_hours,comment,updated_by_person_id
FS-P-1001-260100-PRIOR,PC-7712,2026-06-30,260100,40000,1855.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260100-CURR,PC-7712,2026-07-28,260100,56000,1963.0,Updated for slower field productivity and higher remaining crew/material needs.,PERS-PM1
FS-P-1001-260200-PRIOR,PC-7712,2026-06-30,260200,226000,9761.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260200-CURR,PC-7712,2026-07-28,260200,320000,11215.0,Updated for slower field productivity and higher remaining crew/material needs.,PERS-PM1
FS-P-1001-260300-PRIOR,PC-7712,2026-06-30,260300,110000,2049.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260300-CURR,PC-7712,2026-07-28,260300,85000,1335.0,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1001-260400-PRIOR,PC-7712,2026-06-30,260400,131000,3114.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260400-CURR,PC-7712,2026-07-28,260400,187000,3598.0,,PERS-PM1
FS-P-1001-260500-PRIOR,PC-7712,2026-06-30,260500,89000,1638.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260500-CURR,PC-7712,2026-07-28,260500,67000,1058.0,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1001-260600-PRIOR,PC-7712,2026-06-30,260600,75000,,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260600-CURR,PC-7712,2026-07-28,260600,57000,,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1001-260700-PRIOR,PC-7712,2026-06-30,260700,77000,158.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260700-CURR,PC-7712,2026-07-28,260700,59000,104.0,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1001-260800-PRIOR,PC-7712,2026-06-30,260800,31000,260.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260800-CURR,PC-7712,2026-07-28,260800,23000,164.0,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1001-260900-PRIOR,PC-7712,2026-06-30,260900,27000,1178.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-260900-CURR,PC-7712,2026-07-28,260900,21000,724.0,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1001-269900-PRIOR,PC-7712,2026-06-30,269900,44000,181.0,Prior-period forecast snapshot.,PERS-PM1
FS-P-1001-269900-CURR,PC-7712,2026-07-28,269900,34000,117.0,Reduced remaining estimate after July progress and scope/commitment review.,PERS-PM1
FS-P-1002-230100-PRIOR,PC-7633,2026-05-31,230100,75000,3016.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230100-CURR,PC-7633,2026-06-20,230100,73000,2561.0,Routine monthly refresh; no material scope change.,PERS-PM2
FS-P-1002-230200-PRIOR,PC-7633,2026-05-31,230200,263000,11098.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230200-CURR,PC-7633,2026-06-20,230200,448000,15680.0,Updated for slower field productivity and higher remaining crew/material needs.,PERS-PM2
FS-P-1002-230300-PRIOR,PC-7633,2026-05-31,230300,111000,2246.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230300-CURR,PC-7633,2026-06-20,230300,189000,2975.0,Updated for slower field productivity and higher remaining crew/material needs.,PERS-PM2
FS-P-1002-230400-PRIOR,PC-7633,2026-05-31,230400,136000,2789.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230400-CURR,PC-7633,2026-06-20,230400,133000,2333.0,Routine monthly refresh; no material scope change.,PERS-PM2
FS-P-1002-230500-PRIOR,PC-7633,2026-05-31,230500,200000,,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230500-CURR,PC-7633,2026-06-20,230500,340000,,Updated for slower field productivity and higher remaining crew/material needs.,PERS-PM2
FS-P-1002-230600-PRIOR,PC-7633,2026-05-31,230600,97000,200.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230600-CURR,PC-7633,2026-06-20,230600,95000,166.0,Routine monthly refresh; no material scope change.,PERS-PM2
FS-P-1002-230700-PRIOR,PC-7633,2026-05-31,230700,76000,154.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230700-CURR,PC-7633,2026-06-20,230700,75000,131.0,Routine monthly refresh; no material scope change.,PERS-PM2
FS-P-1002-230800-PRIOR,PC-7633,2026-05-31,230800,83000,678.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230800-CURR,PC-7633,2026-06-20,230800,82000,571.0,Routine monthly refresh; no material scope change.,PERS-PM2
FS-P-1002-230900-PRIOR,PC-7633,2026-05-31,230900,41000,171.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-230900-CURR,PC-7633,2026-06-20,230900,40000,140.0,Routine monthly refresh; no material scope change.,PERS-PM2
FS-P-1002-239900-PRIOR,PC-7633,2026-05-31,239900,63000,263.0,Prior-period forecast snapshot.,PERS-PM2
FS-P-1002-239900-CURR,PC-7633,2026-06-20,239900,62000,217.0,Routine monthly refresh; no material scope change.,PERS-PM2
