rule_id,expected_count,min_expected_count,max_expected_count,notes
DQ_PROJECT_MAP,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
DQ_UNMAPPED_COST_CODE,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
DQ_UNBUDGETED_COST,0,0,0,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
AP_MISSING_POSTING,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
LABOR_MISSING_POSTING,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_STALE,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
AP_DUPLICATE,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
AP_COMMITMENT_OVERRUN,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
AP_COST_CODE_MISMATCH,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
AP_RNI,3,3,3,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_MARGIN_FADE,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_EAC_DETERIORATION,3,3,3,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_COST_CODE_OVERRUN,20,20,20,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_LABOR_BURN,2,2,2,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_PM_CHANGE_NO_EXPLANATION,2,2,2,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_PROFIT_RISK_CONCENTRATION,2,2,2,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
FC_COMPLETE_CODE_REMAINING,1,1,1,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
CO_LARGE_AGING,4,4,4,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
CO_UNAPPROVED_COST,4,4,4,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
CO_MISSING_SOV,2,2,2,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
CO_APPROVED_UNBILLED,2,2,2,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
BILL_UNDERBILLING,3,3,3,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
BILL_SOV_MISMATCH,2,2,2,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
BILL_RETAINAGE,0,0,0,"Exact deterministic count for the supplied mock data at 2026-07-31, before simulated human resolutions."
