pm_project_id,cost_code,cost_description,cost_type,original_budget,current_budget,budgeted_labor_hours,budget_revision_reason,linked_change_order_id
PC-7712,260100,Project Supervision,Labor,287000,287000,4221,,
PC-7712,260200,Field Labor - General,Labor,1025000,1025000,15074,,
PC-7712,260300,Feeders & Distribution,Labor/Material,492000,492000,3256,,
PC-7712,260400,Branch Wiring,Labor/Material,574000,574000,4643,,
PC-7712,260500,Lighting,Labor/Material,410000,410000,2713,,
PC-7712,260600,Switchgear,Equipment,451000,451000,0,,
PC-7712,260700,Controls / Low Voltage,Subcontract,328000,328000,241,,
PC-7712,260800,Temporary Power,Other,164000,164000,482,,
PC-7712,260900,Testing / Commissioning,Labor,164000,164000,2412,,
PC-7712,269900,Other Direct Cost,Other,205000,205000,301,,
PC-7633,230100,Project Supervision,Labor,387000,387000,5691,,
PC-7633,230200,Field Labor,Labor,1290000,1290000,18971,,
PC-7633,230300,Ductwork,Labor/Material,838000,838000,5546,,
PC-7633,230400,Hydronic Piping,Labor/Material,774000,774000,5691,,
PC-7633,230500,Air Handling Equipment,Equipment,1096000,1096000,0,,
PC-7633,230600,Controls,Subcontract,580000,580000,426,,
PC-7633,230700,Insulation,Subcontract,387000,387000,285,,
PC-7633,230800,Sheet Metal Fabrication,Material,452000,452000,1329,,
PC-7633,230900,Testing / Balancing,Subcontract,258000,258000,379,,
PC-7633,239900,Other Direct Cost,Other,388000,388000,571,,
PC-7791,220100,Project Supervision,Labor,189000,189000,2779,,
PC-7791,220200,Field Labor,Labor,648000,648000,9529,,
PC-7791,220300,Domestic Water Piping,Labor/Material,378000,378000,2779,,
PC-7791,220400,Sanitary / Storm Piping,Labor/Material,351000,351000,2581,,
PC-7791,220500,Fixtures,Material,324000,324000,476,,
PC-7791,220600,Pumps / Equipment,Equipment,243000,243000,0,,
PC-7791,220700,Specialty Systems,Subcontract,162000,162000,119,,
PC-7791,220800,Hangers / Supports,Material,135000,135000,298,,
PC-7791,220900,Testing / Commissioning,Labor,108000,108000,1588,,
PC-7791,229900,Other Direct Cost,Other,162000,162000,238,,
PC-7480,260100,Project Supervision,Labor,542000,542000,7971,,
PC-7480,260200,Field Labor - General,Labor,1938000,1938000,28500,,
PC-7480,260300,Feeders & Distribution,Labor/Material,930000,1050000,6154,Partial cost-budget allocation from approved lab equipment feeders change,CO-1004-A
PC-7480,260400,Branch Wiring,Labor/Material,1085000,1085000,8776,,
PC-7480,260500,Lighting,Labor/Material,775000,775000,5129,,
PC-7480,260600,Switchgear,Equipment,852000,852000,0,,
PC-7480,260700,Controls / Low Voltage,Subcontract,620000,620000,456,,
PC-7480,260800,Temporary Power,Other,310000,310000,912,,
PC-7480,260900,Testing / Commissioning,Labor,310000,310000,4559,,
PC-7480,269900,Other Direct Cost,Other,388000,388000,571,,
PC-7688,230100,Project Supervision,Labor,243000,243000,3574,,
PC-7688,230200,Field Labor,Labor,810000,810000,11912,,
PC-7688,230300,Ductwork,Labor/Material,526000,526000,3481,,
PC-7688,230400,Hydronic Piping,Labor/Material,486000,486000,3574,,
PC-7688,230500,Air Handling Equipment,Equipment,688000,688000,0,,
PC-7688,230600,Controls,Subcontract,364000,364000,268,,
PC-7688,230700,Insulation,Subcontract,243000,243000,179,,
PC-7688,230800,Sheet Metal Fabrication,Material,284000,284000,835,,
PC-7688,230900,Testing / Balancing,Subcontract,162000,162000,238,,
PC-7688,239900,Other Direct Cost,Other,244000,244000,359,,
PC-7588,220100,Project Supervision,Labor,368000,368000,5412,,
PC-7588,220200,Field Labor,Labor,1260000,1260000,18529,,
PC-7588,220300,Domestic Water Piping,Labor/Material,735000,735000,5404,,
PC-7588,220400,Sanitary / Storm Piping,Labor/Material,682000,682000,5015,,
PC-7588,220500,Fixtures,Material,630000,630000,926,,
PC-7588,220600,Pumps / Equipment,Equipment,472000,472000,0,,
PC-7588,220700,Specialty Systems,Subcontract,315000,315000,232,,
PC-7588,220800,Hangers / Supports,Material,262000,262000,578,,
PC-7588,220900,Testing / Commissioning,Labor,210000,210000,3088,,
PC-7588,229900,Other Direct Cost,Other,316000,316000,465,,
PC-7791,229950,Unused Warranty Training,Labor,0,0,0,,
